Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI ED: Activist Index (HFRIACT)
Date, Monthly Index Value
12/2007,1000.00
01/2008,949.03
02/2008,946.89
03/2008,938.77
04/2008,948.33
05/2008,969.56
06/2008,929.61
07/2008,889.73
08/2008,877.25
09/2008,787.29
10/2008,646.93
11/2008,608.72
12/2008,599.22
01/2009,572.35
02/2009,547.81
03/2009,578.04
04/2009,617.96
05/2009,673.92
06/2009,691.17
07/2009,704.01
08/2009,712.96
09/2009,751.76
10/2009,741.99
11/2009,747.75
12/2009,778.71
01/2010,753.26
02/2010,740.96
03/2010,780.03
04/2010,791.88
05/2010,747.14
06/2010,727.87
07/2010,769.06
08/2010,746.57
09/2010,779.03
10/2010,795.57
11/2010,801.26
12/2010,837.86
01/2011,884.40
02/2011,902.84
03/2011,909.33
04/2011,934.67
05/2011,921.87
06/2011,905.46
07/2011,880.75
08/2011,828.24
09/2011,777.00
10/2011,820.26
11/2011,777.39
12/2011,768.35
01/2012,812.64
02/2012,838.21
03/2012,827.16
04/2012,823.86
05/2012,766.24
06/2012,780.82
07/2012,788.06
08/2012,810.10
09/2012,818.88
10/2012,824.75
11/2012,919.67
12/2012,929.24
01/2013,944.55
02/2013,995.36
03/2013,981.21
04/2013,973.53
05/2013,1017.44
06/2013,1001.81
07/2013,1028.05
08/2013,1009.80
09/2013,1030.34
10/2013,1058.23
11/2013,1064.26
12/2013,1078.37
01/2014,1065.81
02/2014,1081.16
03/2014,1085.60
04/2014,1072.99
05/2014,1099.47
06/2014,1110.16
07/2014,1105.20
08/2014,1133.58
09/2014,1119.42
10/2014,1090.76
11/2014,1120.44
12/2014,1149.27
01/2015,1128.65
02/2015,1187.75
03/2015,1190.43
04/2015,1205.05
05/2015,1218.75
06/2015,1209.53
07/2015,1194.46
08/2015,1153.80
09/2015,1108.34
10/2015,1161.32
11/2015,1173.27
12/2015,1162.49
01/2016,1098.74
02/2016,1082.89
03/2016,1144.00
04/2016,1163.42
05/2016,1158.03
06/2016,1148.27
07/2016,1185.23
08/2016,1220.67
09/2016,1220.63
10/2016,1193.15
11/2016,1252.06
12/2016,1283.19
01/2017,1285.99
02/2017,1303.72
03/2017,1303.84
04/2017,1327.96
05/2017,1319.93
06/2017,1340.18
07/2017,1346.73
08/2017,1328.87
09/2017,1355.54
10/2017,1348.51
11/2017,1341.53
12/2017,1353.12
01/2018,1349.41
02/2018,1311.73
03/2018,1321.89
04/2018,1323.67
05/2018,1345.31
06/2018,1374.54
07/2018,1377.35
08/2018,1393.37
09/2018,1365.11
10/2018,1306.95
11/2018,1298.78
12/2018,1212.09
01/2019,1281.94
02/2019,1322.36
03/2019,1319.82
04/2019,1336.80
05/2019,1291.03
06/2019,1336.47
07/2019,1345.50
08/2019,1311.78
09/2019,1331.42
10/2019,1363.60
11/2019,1370.78
12/2019,1421.26
01/2020,1401.27
02/2020,1297.06
03/2020,1033.42
04/2020,1132.12
05/2020,1201.53
06/2020,1243.21
07/2020,1288.15
08/2020,1359.12
09/2020,1350.04
10/2020,1341.17
11/2020,1491.40
12/2020,1567.73
01/2021,1547.03
02/2021,1640.25
03/2021,1704.26
04/2021,1746.81
05/2021,1781.91
06/2021,1792.52
07/2021,1770.06
08/2021,1795.91
09/2021,1764.77
10/2021,1800.72
11/2021,1772.11
12/2021,1819.97
01/2022,1721.08
02/2022,1733.66
03/2022,1735.91
04/2022,1638.86
05/2022,1577.43
06/2022,1456.95
07/2022,1538.21
08/2022,1540.98
09/2022,1429.60
10/2022,1525.79
11/2022,1574.97
12/2022,1521.96
01/2023,1650.62
02/2023,1640.11
03/2023,1615.78
04/2023,1588.32
05/2023,1601.62
06/2023,1677.82
07/2023,1744.90
08/2023,1707.32
09/2023,1631.22
10/2023,1545.47
11/2023,1663.87



Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com


INDEX DATA USAGE NOTICE: All data and content on the HFR website and in the HFR Database products are for your informational and personal use only. The total return data provided on the HFR website, the HFR Database products, and the reports generated from them are for internal, non-commercial use only. The data is not sufficient, comprehensive enough or approved for use in connection with investment products or instruments. You may not copy, redistribute, sell, retransmit, or make the data available to a third party, or otherwise use it for any commercial or public purpose unless you have a separate written agreement with HFR. You require a written license from HFR to use the HFR data, HFR marks and names and/or HFR Index names, including but not limited to use in connection with investment products and instruments (regardless of whether such products or instruments are based on, linked to or track an HFR Index), the name of investment products and instruments, in prospectuses, marketing and other materials publicly or commercially disseminated, benchmarking purposes, and any SEC, government or regulatory filings. Please contact HFR for additional information at: INDICES@HFR.COM
