Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI EH: Long/Short Directional Index (HFRIELD)
Date, Monthly Index Value
12/2007,1000.00
01/2008,949.16
02/2008,961.23
03/2008,930.45
04/2008,956.89
05/2008,981.88
06/2008,951.31
07/2008,921.57
08/2008,900.28
09/2008,817.88
10/2008,726.87
11/2008,694.46
12/2008,699.06
01/2009,691.32
02/2009,673.79
03/2009,697.07
04/2009,742.67
05/2009,796.29
06/2009,797.97
07/2009,828.39
08/2009,841.22
09/2009,872.98
10/2009,865.18
11/2009,881.45
12/2009,902.57
01/2010,889.29
02/2010,898.60
03/2010,931.27
04/2010,944.66
05/2010,901.04
06/2010,882.17
07/2010,905.63
08/2010,891.53
09/2010,939.31
10/2010,963.87
11/2010,970.87
12/2010,1009.31
01/2011,1013.35
02/2011,1028.22
03/2011,1033.96
04/2011,1049.51
05/2011,1034.86
06/2011,1020.03
07/2011,1016.22
08/2011,962.46
09/2011,899.53
10/2011,947.82
11/2011,926.34
12/2011,916.45
01/2012,956.16
02/2012,987.54
03/2012,987.92
04/2012,978.92
05/2012,926.98
06/2012,936.41
07/2012,938.77
08/2012,951.22
09/2012,972.28
10/2012,969.32
11/2012,973.98
12/2012,992.06
01/2013,1028.09
02/2013,1031.30
03/2013,1045.26
04/2013,1049.29
05/2013,1063.58
06/2013,1043.94
07/2013,1069.58
08/2013,1059.75
09/2013,1091.23
10/2013,1114.19
11/2013,1128.11
12/2013,1145.55
01/2014,1133.01
02/2014,1163.98
03/2014,1158.25
04/2014,1148.43
05/2014,1162.50
06/2014,1184.91
07/2014,1172.41
08/2014,1192.62
09/2014,1166.85
10/2014,1165.83
11/2014,1169.87
12/2014,1165.17
01/2015,1151.82
02/2015,1185.82
03/2015,1188.87
04/2015,1212.75
05/2015,1225.17
06/2015,1212.54
07/2015,1196.42
08/2015,1153.01
09/2015,1126.78
10/2015,1163.12
11/2015,1162.32
12/2015,1147.41
01/2016,1088.49
02/2016,1083.42
03/2016,1123.53
04/2016,1138.48
05/2016,1146.07
06/2016,1141.02
07/2016,1173.93
08/2016,1186.04
09/2016,1199.17
10/2016,1188.35
11/2016,1203.78
12/2016,1214.12
01/2017,1238.92
02/2017,1253.45
03/2017,1264.97
04/2017,1274.93
05/2017,1280.67
06/2017,1292.81
07/2017,1313.01
08/2017,1320.56
09/2017,1340.61
10/2017,1354.75
11/2017,1368.92
12/2017,1387.82
01/2018,1429.73
02/2018,1401.86
03/2018,1391.48
04/2018,1396.87
05/2018,1416.60
06/2018,1404.80
07/2018,1412.71
08/2018,1419.07
09/2018,1409.91
10/2018,1338.32
11/2018,1337.34
12/2018,1279.93
01/2019,1351.05
02/2019,1379.30
03/2019,1385.60
04/2019,1411.29
05/2019,1364.48
06/2019,1408.93
07/2019,1411.62
08/2019,1384.64
09/2019,1385.55
10/2019,1407.03
11/2019,1432.58
12/2019,1470.95
01/2020,1454.89
02/2020,1405.37
03/2020,1239.93
04/2020,1335.44
05/2020,1381.51
06/2020,1422.14
07/2020,1481.17
08/2020,1536.24
09/2020,1516.45
10/2020,1522.89
11/2020,1658.22
12/2020,1759.40
01/2021,1787.59
02/2021,1877.65
03/2021,1888.68
04/2021,1940.29
05/2021,1966.11
06/2021,1983.31
07/2021,1956.87
08/2021,1979.52
09/2021,1960.84
10/2021,1997.96
11/2021,1942.16
12/2021,1973.82
01/2022,1888.40
02/2022,1874.60
03/2022,1880.09
04/2022,1807.74
05/2022,1797.17
06/2022,1718.71
07/2022,1761.98
08/2022,1756.07
09/2022,1673.24
10/2022,1710.95
11/2022,1766.13
12/2022,1751.96
01/2023,1825.73
02/2023,1798.69
03/2023,1799.09
04/2023,1800.28
05/2023,1800.76
06/2023,1859.11
07/2023,1908.38
08/2023,1874.89
09/2023,1834.48
10/2023,1784.65
11/2023,1863.17



Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com


INDEX DATA USAGE NOTICE: All data and content on the HFR website and in the HFR Database products are for your informational and personal use only. The total return data provided on the HFR website, the HFR Database products, and the reports generated from them are for internal, non-commercial use only. The data is not sufficient, comprehensive enough or approved for use in connection with investment products or instruments. You may not copy, redistribute, sell, retransmit, or make the data available to a third party, or otherwise use it for any commercial or public purpose unless you have a separate written agreement with HFR. You require a written license from HFR to use the HFR data, HFR marks and names and/or HFR Index names, including but not limited to use in connection with investment products and instruments (regardless of whether such products or instruments are based on, linked to or track an HFR Index), the name of investment products and instruments, in prospectuses, marketing and other materials publicly or commercially disseminated, benchmarking purposes, and any SEC, government or regulatory filings. Please contact HFR for additional information at: INDICES@HFR.COM
