Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI EH: Fundamental Value Index (HFRIEHFV)
Date, Monthly Index Value
12/2007,1000.00
01/2008,959.39
02/2008,965.09
03/2008,937.17
04/2008,960.62
05/2008,984.57
06/2008,949.60
07/2008,926.50
08/2008,917.78
09/2008,844.17
10/2008,762.83
11/2008,726.21
12/2008,731.69
01/2009,723.35
02/2009,701.39
03/2009,723.27
04/2009,771.11
05/2009,819.40
06/2009,822.47
07/2009,853.04
08/2009,871.34
09/2009,897.16
10/2009,885.01
11/2009,895.23
12/2009,914.77
01/2010,907.47
02/2010,918.32
03/2010,945.66
04/2010,960.34
05/2010,918.81
06/2010,897.64
07/2010,920.60
08/2010,902.42
09/2010,944.81
10/2010,970.01
11/2010,976.04
12/2010,1014.52
01/2011,1021.86
02/2011,1039.51
03/2011,1039.09
04/2011,1053.53
05/2011,1042.06
06/2011,1029.45
07/2011,1020.01
08/2011,970.81
09/2011,913.36
10/2011,964.54
11/2011,946.29
12/2011,942.25
01/2012,980.76
02/2012,1012.55
03/2012,1020.67
04/2012,1013.20
05/2012,965.98
06/2012,979.42
07/2012,981.20
08/2012,996.42
09/2012,1017.38
10/2012,1019.97
11/2012,1026.67
12/2012,1048.87
01/2013,1092.47
02/2013,1100.99
03/2013,1121.65
04/2013,1129.91
05/2013,1151.80
06/2013,1136.17
07/2013,1165.94
08/2013,1150.64
09/2013,1185.67
10/2013,1214.87
11/2013,1234.02
12/2013,1255.44
01/2014,1238.02
02/2014,1267.46
03/2014,1264.13
04/2014,1256.82
05/2014,1269.25
06/2014,1291.06
07/2014,1275.79
08/2014,1296.69
09/2014,1268.61
10/2014,1270.23
11/2014,1279.06
12/2014,1279.43
01/2015,1257.64
02/2015,1296.60
03/2015,1300.43
04/2015,1323.66
05/2015,1337.95
06/2015,1326.25
07/2015,1310.04
08/2015,1269.06
09/2015,1239.19
10/2015,1280.01
11/2015,1279.21
12/2015,1260.14
01/2016,1194.68
02/2016,1190.06
03/2016,1233.25
04/2016,1251.48
05/2016,1254.44
06/2016,1239.71
07/2016,1279.13
08/2016,1296.31
09/2016,1305.74
10/2016,1299.84
11/2016,1333.38
12/2016,1351.59
01/2017,1373.57
02/2017,1389.59
03/2017,1396.90
04/2017,1407.81
05/2017,1413.06
06/2017,1429.83
07/2017,1449.71
08/2017,1449.22
09/2017,1477.09
10/2017,1490.47
11/2017,1508.14
12/2017,1532.74
01/2018,1572.04
02/2018,1537.23
03/2018,1523.89
04/2018,1532.86
05/2018,1555.80
06/2018,1546.50
07/2018,1563.43
08/2018,1569.96
09/2018,1562.29
10/2018,1477.79
11/2018,1471.58
12/2018,1392.84
01/2019,1488.50
02/2019,1517.61
03/2019,1513.66
04/2019,1552.82
05/2019,1491.93
06/2019,1545.39
07/2019,1552.23
08/2019,1514.67
09/2019,1527.77
10/2019,1547.85
11/2019,1576.40
12/2019,1620.29
01/2020,1586.05
02/2020,1514.47
03/2020,1306.54
04/2020,1413.12
05/2020,1458.07
06/2020,1495.91
07/2020,1558.94
08/2020,1617.74
09/2020,1585.23
10/2020,1590.14
11/2020,1748.98
12/2020,1857.23
01/2021,1884.74
02/2021,2006.70
03/2021,2045.89
04/2021,2103.35
05/2021,2145.44
06/2021,2156.17
07/2021,2122.40
08/2021,2144.78
09/2021,2128.85
10/2021,2160.95
11/2021,2087.26
12/2021,2128.63
01/2022,2069.83
02/2022,2068.81
03/2022,2074.62
04/2022,2008.41
05/2022,2015.88
06/2022,1900.70
07/2022,1952.88
08/2022,1951.03
09/2022,1847.05
10/2022,1902.01
11/2022,1974.29
12/2022,1959.80
01/2023,2049.84
02/2023,2023.89
03/2023,2020.44
04/2023,2020.24
05/2023,2010.41
06/2023,2089.60
07/2023,2164.99
08/2023,2131.52
09/2023,2083.51
10/2023,2033.64
11/2023,2130.63



Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com


INDEX DATA USAGE NOTICE: All data and content on the HFR website and in the HFR Database products are for your informational and personal use only. The total return data provided on the HFR website, the HFR Database products, and the reports generated from them are for internal, non-commercial use only. The data is not sufficient, comprehensive enough or approved for use in connection with investment products or instruments. You may not copy, redistribute, sell, retransmit, or make the data available to a third party, or otherwise use it for any commercial or public purpose unless you have a separate written agreement with HFR. You require a written license from HFR to use the HFR data, HFR marks and names and/or HFR Index names, including but not limited to use in connection with investment products and instruments (regardless of whether such products or instruments are based on, linked to or track an HFR Index), the name of investment products and instruments, in prospectuses, marketing and other materials publicly or commercially disseminated, benchmarking purposes, and any SEC, government or regulatory filings. Please contact HFR for additional information at: INDICES@HFR.COM
