Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI EH: Quantitative Directional Index (HFRIENHI)
Date, Monthly Index Value
12/1989,1000.00
01/1990,949.30
02/1990,965.06
03/1990,1008.49
04/1990,977.32
05/1990,1049.94
06/1990,1070.83
07/1990,1062.69
08/1990,949.41
09/1990,891.21
10/1990,871.61
11/1990,907.86
12/1990,928.29
01/1991,973.87
02/1991,1064.54
03/1991,1166.52
04/1991,1169.79
05/1991,1223.13
06/1991,1192.31
07/1991,1249.89
08/1991,1297.89
09/1991,1326.83
10/1991,1377.92
11/1991,1345.95
12/1991,1458.07
01/1992,1537.39
02/1992,1572.75
03/1992,1540.50
04/1992,1504.92
05/1992,1522.83
06/1992,1478.66
07/1992,1532.93
08/1992,1507.64
09/1992,1546.69
10/1992,1621.08
11/1992,1733.42
12/1992,1790.28
01/1993,1831.46
02/1993,1804.17
03/1993,1872.18
04/1993,1867.32
05/1993,1964.98
06/1993,1993.27
07/1993,2037.32
08/1993,2126.56
09/1993,2168.45
10/1993,2247.60
11/1993,2197.70
12/1993,2281.22
01/1994,2353.53
02/1994,2324.82
03/1994,2253.45
04/1994,2244.21
05/1994,2260.14
06/1994,2238.67
07/1994,2294.64
08/1994,2405.01
09/1994,2410.30
10/1994,2431.99
11/1994,2372.89
12/1994,2397.57
01/1995,2405.48
02/1995,2483.42
03/1995,2566.37
04/1995,2629.50
05/1995,2679.20
06/1995,2808.60
07/1995,2991.72
08/1995,3084.77
09/1995,3177.93
10/1995,3103.25
11/1995,3185.17
12/1995,3231.99
01/1996,3300.51
02/1996,3411.41
03/1996,3506.59
04/1996,3769.58
05/1996,3973.14
06/1996,3869.04
07/1996,3606.34
08/1996,3746.26
09/1996,3894.99
10/1996,3875.12
11/1996,3989.83
12/1996,4056.86
01/1997,4194.38
02/1997,4149.08
03/1997,3939.97
04/1997,3918.69
05/1997,4270.59
06/1997,4406.82
07/1997,4651.84
08/1997,4691.85
09/1997,4990.25
10/1997,4857.01
11/1997,4785.61
12/1997,4769.34
01/1998,4727.37
02/1998,4996.36
03/1998,5195.22
04/1998,5269.51
05/1998,5123.54
06/1998,5175.80
07/1998,5027.26
08/1998,4356.62
09/1998,4506.49
10/1998,4685.85
11/1998,4996.99
12/1998,5236.84
01/1999,5427.99
02/1999,5219.55
03/1999,5369.35
04/1999,5710.84
05/1999,5773.66
06/1999,6049.07
07/1999,6081.13
08/1999,6010.59
09/1999,5973.32
10/1999,6132.21
11/1999,6706.80
12/1999,7427.11
01/2000,7311.25
02/2000,7999.23
03/2000,8188.02
04/2000,7503.50
05/2000,7141.08
06/2000,7653.09
07/2000,7443.40
08/2000,7990.49
09/2000,7646.10
10/2000,7252.33
11/2000,6640.95
12/2000,6755.84
01/2001,7296.31
02/2001,6755.65
03/2001,6414.49
04/2001,6780.76
05/2001,6938.07
06/2001,6940.85
07/2001,6777.05
08/2001,6568.31
09/2001,6000.15
10/2001,6267.76
11/2001,6598.07
12/2001,6847.48
01/2002,6823.69
02/2002,6718.32
03/2002,7038.01
04/2002,7025.62
05/2002,6952.52
06/2002,6644.70
07/2002,6168.07
08/2002,6184.66
09/2002,5881.65
10/2002,6074.54
11/2002,6416.56
12/2002,6265.51
01/2003,6238.57
02/2003,6149.11
03/2003,6172.47
04/2003,6579.12
05/2003,7051.50
06/2003,7244.29
07/2003,7478.28
08/2003,7742.11
09/2003,7756.51
10/2003,8201.58
11/2003,8408.26
12/2003,8617.20
01/2004,8822.03
02/2004,8950.75
03/2004,9021.64
04/2004,8748.19
05/2004,8736.56
06/2004,8860.00
07/2004,8529.97
08/2004,8490.05
09/2004,8775.57
10/2004,8916.07
11/2004,9428.56
12/2004,9765.35
01/2005,9609.30
02/2005,9889.22
03/2005,9649.80
04/2005,9328.17
05/2005,9623.88
06/2005,9900.66
07/2005,10306.29
08/2005,10295.36
09/2005,10514.86
10/2005,10211.82
11/2005,10552.59
12/2005,10733.78
01/2006,11357.73
02/2006,11329.11
03/2006,11619.25
04/2006,11890.91
05/2006,11404.45
06/2006,11295.88
07/2006,11053.02
08/2006,11284.47
09/2006,11367.64
10/2006,11774.26
11/2006,12250.29
12/2006,12445.44
01/2007,12648.83
02/2007,12675.72
03/2007,12886.71
04/2007,13258.97
05/2007,13708.07
06/2007,13824.35
07/2007,13677.70
08/2007,13470.90
09/2007,14019.03
10/2007,14617.23
11/2007,13931.16
12/2007,13982.37
01/2008,13271.51
02/2008,13449.49
03/2008,13250.91
04/2008,13599.84
05/2008,13968.56
06/2008,13562.88
07/2008,13381.80
08/2008,13195.17
09/2008,12210.50
10/2008,11093.87
11/2008,10685.56
12/2008,10774.19
01/2009,10483.49
02/2009,10068.44
03/2009,10342.89
04/2009,10825.52
05/2009,11220.50
06/2009,11274.92
07/2009,11623.91
08/2009,11752.67
09/2009,12018.37
10/2009,11906.50
11/2009,12122.55
12/2009,12316.86
01/2010,12054.65
02/2010,12204.92
03/2010,12516.99
04/2010,12559.01
05/2010,12315.28
06/2010,12032.55
07/2010,12344.19
08/2010,12154.30
09/2010,12748.45
10/2010,13045.99
11/2010,13016.37
12/2010,13396.53
01/2011,13368.98
02/2011,13643.89
03/2011,13705.25
04/2011,13916.11
05/2011,13766.57
06/2011,13671.93
07/2011,13480.70
08/2011,12759.12
09/2011,12105.15
10/2011,12556.42
11/2011,12475.40
12/2011,12435.97
01/2012,12797.74
02/2012,13216.08
03/2012,13290.09
04/2012,13196.04
05/2012,12667.54
06/2012,12859.48
07/2012,12939.89
08/2012,13105.82
09/2012,13323.44
10/2012,13149.20
11/2012,13278.04
12/2012,13325.71
01/2013,13700.95
02/2013,13706.18
03/2013,13883.20
04/2013,13952.65
05/2013,13861.52
06/2013,13741.80
07/2013,14125.17
08/2013,13996.33
09/2013,14164.60
10/2013,14490.87
