Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI Macro (Total) Index (HFRIMI)
Date, Monthly Index Value
12/1989,1000.00
01/1990,987.70
02/1990,992.44
03/1990,1027.57
04/1990,1019.97
05/1990,1060.56
06/1990,1078.06
07/1990,1119.35
08/1990,1077.04
09/1990,1066.49
10/1990,1094.22
11/1990,1106.69
12/1990,1125.61
01/1991,1122.80
02/1991,1193.65
03/1991,1275.41
04/1991,1253.99
05/1991,1254.11
06/1991,1286.97
07/1991,1318.24
08/1991,1406.57
09/1991,1490.40
10/1991,1525.12
11/1991,1536.56
12/1991,1650.88
01/1992,1697.11
02/1992,1702.88
03/1992,1708.33
04/1992,1727.46
05/1992,1848.21
06/1992,1864.29
07/1992,1896.17
08/1992,1876.07
09/1992,1918.84
10/1992,2008.26
11/1992,2071.12
12/1992,2099.49
01/1993,2118.60
02/1993,2228.13
03/1993,2351.57
04/1993,2414.82
05/1993,2487.03
06/1993,2664.85
07/1993,2763.72
08/1993,2866.25
09/1993,2847.33
10/1993,2984.01
11/1993,2983.71
12/1993,3218.82
01/1994,3286.74
02/1994,3076.39
03/1994,2970.87
04/1994,2935.22
05/1994,3001.26
06/1994,3005.76
07/1994,3027.10
08/1994,3105.81
09/1994,3102.08
10/1994,3098.67
11/1994,3110.75
12/1994,3080.27
01/1995,3053.47
02/1995,3097.75
03/1995,3141.11
04/1995,3165.61
05/1995,3246.02
06/1995,3261.28
07/1995,3389.45
08/1995,3578.92
09/1995,3694.16
10/1995,3709.30
11/1995,3843.95
12/1995,3983.49
01/1996,4193.81
02/1996,4035.71
03/1996,4050.64
04/1996,4176.61
05/1996,4173.27
06/1996,4129.04
07/1996,4003.51
08/1996,4032.74
09/1996,4113.80
10/1996,4178.79
11/1996,4376.03
12/1996,4354.59
01/1997,4578.42
02/1997,4651.21
03/1997,4593.54
04/1997,4583.43
05/1997,4667.31
06/1997,4752.26
07/1997,5032.64
08/1997,4969.73
09/1997,5121.31
10/1997,5039.37
11/1997,5026.77
12/1997,5174.05
01/1998,5184.40
02/1998,5282.90
03/1998,5549.69
04/1998,5542.48
05/1998,5546.91
06/1998,5578.53
07/1998,5591.36
08/1998,5384.48
09/1998,5357.56
10/1998,5259.51
11/1998,5363.65
12/1998,5494.52
01/1999,5539.03
02/1999,5470.34
03/1999,5528.88
04/1999,5742.29
05/1999,5690.61
06/1999,5813.53
07/1999,5840.27
08/1999,5808.15
09/1999,5870.88
10/1999,5826.85
11/1999,6050.01
12/1999,6462.63
01/2000,6536.30
02/2000,6776.18
03/2000,6622.36
04/2000,6378.66
05/2000,6280.43
06/2000,6358.31
07/2000,6361.48
08/2000,6471.54
09/2000,6329.81
10/2000,6283.60
11/2000,6299.31
12/2000,6589.71
01/2001,6731.39
02/2001,6616.28
03/2001,6671.20
04/2001,6663.19
05/2001,6656.53
06/2001,6685.15
07/2001,6665.10
08/2001,6703.09
09/2001,6745.32
10/2001,6928.12
11/2001,6937.82
12/2001,7042.58
01/2002,7071.54
02/2002,6986.13
03/2002,7133.66
04/2002,7161.48
05/2002,7295.67
06/2002,7383.34
07/2002,7358.34
08/2002,7404.64
09/2002,7473.64
10/2002,7350.69
11/2002,7316.62
12/2002,7566.41
01/2003,7757.08
02/2003,7905.24
03/2003,7728.87
04/2003,7823.71
05/2003,8266.92
06/2003,8310.82
07/2003,8371.15
08/2003,8526.52
09/2003,8719.05
10/2003,8869.80
11/2003,8886.92
12/2003,9187.48
01/2004,9246.83
02/2004,9431.67
03/2004,9537.59
04/2004,9266.72
05/2004,9202.32
06/2004,9192.20
07/2004,9161.96
08/2004,9140.61
09/2004,9216.93
10/2004,9294.17
11/2004,9554.87
12/2004,9612.77
01/2005,9557.40
02/2005,9730.01
03/2005,9671.53
04/2005,9568.92
05/2005,9601.93
06/2005,9703.23
07/2005,9775.13
08/2005,9846.00
09/2005,10053.56
10/2005,9989.82
11/2005,10135.87
12/2005,10265.10
01/2006,10511.57
02/2006,10461.95
03/2006,10581.95
04/2006,10874.43
05/2006,10726.11
06/2006,10674.19
07/2006,10646.44
08/2006,10671.14
09/2006,10590.04
10/2006,10710.45
11/2006,10962.89
12/2006,11102.12
01/2007,11143.40
02/2007,11168.29
03/2007,11158.27
04/2007,11339.86
05/2007,11545.19
06/2007,11719.12
07/2007,11812.06
08/2007,11562.71
09/2007,11936.10
10/2007,12324.93
11/2007,12214.95
12/2007,12335.22
01/2008,12468.77
02/2008,12994.86
03/2008,12836.17
04/2008,12831.95
05/2008,12986.52
06/2008,13141.36
07/2008,12796.57
08/2008,12645.73
09/2008,12492.16
10/2008,12695.99
11/2008,12789.03
12/2008,12931.35
01/2009,12918.48
02/2009,12902.66
03/2009,12823.36
04/2009,12811.93
05/2009,13264.86
06/2009,13109.79
07/2009,13174.29
08/2009,13223.65
09/2009,13449.63
10/2009,13380.29
11/2009,13670.64
12/2009,13492.60
01/2010,13229.08
02/2010,13250.21
03/2010,13460.92
04/2010,13570.97
05/2010,13356.13
06/2010,13340.64
07/2010,13332.33
08/2010,13557.52
09/2010,13928.36
10/2010,14239.08
11/2010,14108.61
12/2010,14579.78
01/2011,14474.62
02/2011,14659.22
03/2011,14499.35
04/2011,14843.11
05/2011,14501.49
06/2011,14249.04
07/2011,14484.96
08/2011,14410.91
09/2011,14231.73
10/2011,14100.21
11/2011,14008.18
12/2011,13973.48
01/2012,14150.58
02/2012,14262.29
03/2012,14074.24
04/2012,13992.70
05/2012,14049.18
06/2012,13849.66
07/2012,14127.89
08/2012,14095.64
09/2012,14091.39
10/2012,13832.48
11/2012,13823.57
12/2012,13964.72
01/2013,14177.96
02/2013,14081.67
03/2013,14139.03
04/2013,14231.35
05/2013,14053.31
06/2013,13832.83
07/2013,13825.07
08/2013,13675.42
09/2013,13652.68
10/2013,13765.92
11/2013,13838.02
12/2013,13903.12
01/2014,13784.74
02/2014,13983.10
03/2014,13857.13
04/2014,13865.79
05/2014,13944.69
06/2014,14041.68
07/2014,13986.18
08/2014,14196.00
09/2014,14349.29
10/2014,14320.53
11/2014,14642.95
12/2014,14678.34
01/2015,15047.02
02/2015,15076.51
03/2015,15161.16
04/2015,14980.10
05/2015,14972.89
06/2015,14626.77
07/2015,14757.04
08/2015,14520.13
09/2015,14513.82
10/2015,14501.54
11/2015,14702.66
12/2015,14493.35
01/2016,14641.39
02/2016,14858.86
03/2016,14718.33
04/2016,14706.42
05/2016,14570.16
06/2016,14893.58
07/2016,15011.66
08/2016,14790.36
09/2016,14739.41
10/2016,14558.18
11/2016,14513.28
12/2016,14643.26
01/2017,14577.53
02/2017,14693.68
03/2017,14628.62
04/2017,14648.54
05/2017,14661.82
06/2017,14533.06
07/2017,14626.15
08/2017,14741.62
09/2017,14613.78
10/2017,14901.08
11/2017,14872.48
12/2017,14965.30
01/2018,15377.07
02/2018,14807.79
03/2018,14725.81
04/2018,14761.24
05/2018,14727.41
06/2018,14698.34
07/2018,14670.94
08/2018,14739.27
09/2018,14691.36
10/2018,14405.71
11/2018,14329.69
12/2018,14354.37
01/2019,14416.65
02/2019,14470.04
03/2019,14681.66
04/2019,14836.62
05/2019,14707.33
06/2019,15057.69
07/2019,15252.42
08/2019,15603.69
09/2019,15316.27
10/2019,15146.98
11/2019,15194.46
12/2019,15287.53
01/2020,15306.58
02/2020,15115.13
03/2020,15040.14
04/2020,15187.46
05/2020,15200.72
06/2020,15182.65
07/2020,15599.96
08/2020,15660.44
09/2020,15359.56
