Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI Macro: Discretionary Thematic Index (HFRIMDT)
Date, Monthly Index Value
12/2007,1000.00
01/2008,997.46
02/2008,1011.59
03/2008,989.30
04/2008,1006.62
05/2008,1015.96
06/2008,1007.10
07/2008,986.93
08/2008,971.86
09/2008,938.10
10/2008,895.84
11/2008,874.41
12/2008,879.50
01/2009,884.12
02/2009,880.70
03/2009,893.12
04/2009,909.36
05/2009,955.50
06/2009,943.29
07/2009,968.14
08/2009,965.99
09/2009,989.04
10/2009,989.07
11/2009,1007.02
12/2009,1006.98
01/2010,998.12
02/2010,998.15
03/2010,1015.06
04/2010,1017.69
05/2010,994.38
06/2010,989.82
07/2010,992.53
08/2010,997.49
09/2010,1026.48
10/2010,1039.51
11/2010,1039.84
12/2010,1062.23
01/2011,1057.79
02/2011,1068.43
03/2011,1058.55
04/2011,1069.28
05/2011,1049.47
06/2011,1037.08
07/2011,1044.24
08/2011,1028.60
09/2011,994.60
10/2011,1008.12
11/2011,999.92
12/2011,994.51
01/2012,1022.93
02/2012,1035.39
03/2012,1027.23
04/2012,1015.41
05/2012,995.05
06/2012,994.14
07/2012,998.74
08/2012,1003.05
09/2012,1019.54
10/2012,1009.39
11/2012,1008.90
12/2012,1028.76
01/2013,1052.29
02/2013,1047.28
03/2013,1049.17
04/2013,1046.43
05/2013,1045.80
06/2013,1027.70
07/2013,1029.87
08/2013,1017.32
09/2013,1024.47
10/2013,1031.56
11/2013,1031.93
12/2013,1036.88
01/2014,1025.49
02/2014,1041.52
03/2014,1035.13
04/2014,1031.33
05/2014,1037.37
06/2014,1045.19
07/2014,1041.47
08/2014,1039.76
09/2014,1033.61
10/2014,1026.73
11/2014,1035.57
12/2014,1020.89
01/2015,1019.60
02/2015,1037.10
03/2015,1041.06
04/2015,1042.52
05/2015,1051.49
06/2015,1040.50
07/2015,1049.08
08/2015,1037.49
09/2015,1024.84
10/2015,1034.90
11/2015,1037.83
12/2015,1026.90
01/2016,1020.55
02/2016,1013.60
03/2016,1009.69
04/2016,1015.28
05/2016,1017.15
06/2016,1014.26
07/2016,1012.83
08/2016,1016.17
09/2016,1011.60
10/2016,1021.43
11/2016,1016.50
12/2016,1027.16
01/2017,1027.70
02/2017,1031.39
03/2017,1034.36
04/2017,1035.59
05/2017,1033.42
06/2017,1035.47
07/2017,1033.88
08/2017,1037.35
09/2017,1040.88
10/2017,1039.60
11/2017,1030.34
12/2017,1030.11
01/2018,1048.28
02/2018,1035.74
03/2018,1022.80
04/2018,1027.13
05/2018,1036.86
06/2018,1039.72
07/2018,1039.68
08/2018,1034.17
09/2018,1030.94
10/2018,1036.92
11/2018,1027.26
12/2018,1020.60
01/2019,1038.65
02/2019,1039.94
03/2019,1041.72
04/2019,1051.52
05/2019,1039.54
06/2019,1059.81
07/2019,1058.80
08/2019,1058.13
09/2019,1058.40
10/2019,1063.27
11/2019,1059.03
12/2019,1075.89
01/2020,1064.84
02/2020,1049.59
03/2020,1051.22
04/2020,1071.35
05/2020,1092.69
06/2020,1112.03
07/2020,1147.28
08/2020,1168.03
09/2020,1141.93
10/2020,1137.65
11/2020,1169.51
12/2020,1225.88
01/2021,1241.18
02/2021,1267.42
03/2021,1277.71
04/2021,1294.26
05/2021,1324.76
06/2021,1336.18
07/2021,1292.68
08/2021,1290.99
09/2021,1273.25
10/2021,1265.67
11/2021,1248.13
12/2021,1262.48
01/2022,1260.35
02/2022,1251.81
03/2022,1271.03
04/2022,1267.10
05/2022,1273.74
06/2022,1245.74
07/2022,1255.90
08/2022,1261.40
09/2022,1251.83
10/2022,1256.52
11/2022,1276.49
12/2022,1287.62
01/2023,1308.44
02/2023,1296.18
03/2023,1286.16
04/2023,1287.66
05/2023,1277.61
06/2023,1287.98
07/2023,1305.77
08/2023,1304.50
09/2023,1301.81
10/2023,1303.07
11/2023,1330.98



Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com


INDEX DATA USAGE NOTICE: All data and content on the HFR website and in the HFR Database products are for your informational and personal use only. The total return data provided on the HFR website, the HFR Database products, and the reports generated from them are for internal, non-commercial use only. The data is not sufficient, comprehensive enough or approved for use in connection with investment products or instruments. You may not copy, redistribute, sell, retransmit, or make the data available to a third party, or otherwise use it for any commercial or public purpose unless you have a separate written agreement with HFR. You require a written license from HFR to use the HFR data, HFR marks and names and/or HFR Index names, including but not limited to use in connection with investment products and instruments (regardless of whether such products or instruments are based on, linked to or track an HFR Index), the name of investment products and instruments, in prospectuses, marketing and other materials publicly or commercially disseminated, benchmarking purposes, and any SEC, government or regulatory filings. Please contact HFR for additional information at: INDICES@HFR.COM
