Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI Macro: Systematic Diversified Index (HFRIMTI)
Date, Monthly Index Value
12/1989,1000.00
01/1990,1020.30
02/1990,1015.10
03/1990,1045.35
04/1990,1036.04
05/1990,1068.68
06/1990,1088.13
07/1990,1098.68
08/1990,1104.84
09/1990,1079.98
10/1990,1075.55
11/1990,1100.18
12/1990,1135.16
01/1991,1155.71
02/1991,1203.56
03/1991,1226.30
04/1991,1231.95
05/1991,1255.48
06/1991,1239.28
07/1991,1276.71
08/1991,1316.03
09/1991,1312.74
10/1991,1343.98
11/1991,1325.17
12/1991,1397.92
01/1992,1410.92
02/1992,1409.23
03/1992,1404.29
04/1992,1395.45
05/1992,1420.42
06/1992,1413.46
07/1992,1438.62
08/1992,1411.43
09/1992,1406.92
10/1992,1431.96
11/1992,1477.64
12/1992,1506.16
01/1993,1523.63
02/1993,1544.66
03/1993,1597.95
04/1993,1640.13
05/1993,1710.17
06/1993,1723.68
07/1993,1754.53
08/1993,1772.25
09/1993,1782.18
10/1993,1833.15
11/1993,1803.82
12/1993,1870.38
01/1994,1905.35
02/1994,1892.02
03/1994,1869.69
04/1994,1865.95
05/1994,1854.75
06/1994,1828.60
07/1994,1853.29
08/1994,1913.71
09/1994,1924.81
10/1994,1948.87
11/1994,1916.90
12/1994,1935.69
01/1995,1925.24
02/1995,1946.61
03/1995,1967.83
04/1995,1989.27
05/1995,2040.20
06/1995,2067.74
07/1995,2122.54
08/1995,2122.33
09/1995,2144.40
10/1995,2131.96
11/1995,2161.38
12/1995,2179.10
01/1996,2250.14
02/1996,2278.95
03/1996,2279.86
04/1996,2343.24
05/1996,2376.04
06/1996,2360.84
07/1996,2322.59
08/1996,2347.91
09/1996,2426.33
10/1996,2445.49
11/1996,2505.41
12/1996,2472.59
01/1997,2518.08
02/1997,2498.95
03/1997,2447.97
04/1997,2443.07
05/1997,2542.26
06/1997,2599.97
07/1997,2712.81
08/1997,2698.97
09/1997,2801.80
10/1997,2765.94
11/1997,2764.56
12/1997,2808.24
01/1998,2787.74
02/1998,2861.06
03/1998,2923.71
04/1998,2987.74
05/1998,2945.32
06/1998,3045.16
07/1998,3044.86
08/1998,3064.95
09/1998,3053.00
10/1998,3219.39
11/1998,3392.91
12/1998,3505.22
01/1999,3677.33
02/1999,3567.37
03/1999,3720.06
04/1999,3874.81
05/1999,3766.32
06/1999,3928.27
07/1999,3966.77
08/1999,4014.76
09/1999,4011.55
10/1999,4105.82
11/1999,4208.47
12/1999,4422.68
01/2000,4491.23
02/2000,4758.91
03/2000,4858.37
04/2000,4728.65
05/2000,4798.16
06/2000,4871.57
07/2000,4810.68
08/2000,4973.28
09/2000,4864.37
10/2000,4882.85
11/2000,4788.12
12/2000,4944.22
01/2001,4960.53
02/2001,4797.83
03/2001,4699.95
04/2001,4878.55
05/2001,4930.26
06/2001,4965.27
07/2001,4894.26
08/2001,4825.25
09/2001,4773.14
10/2001,4912.04
11/2001,5040.24
12/2001,5146.59
