Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI RV: Fixed Income-Asset Backed Index (HFRIFIMB)
Date, Monthly Index Value
12/1992,1000.00
01/1993,1008.80
02/1993,1022.22
03/1993,1029.99
04/1993,1037.40
05/1993,1047.46
06/1993,1062.65
07/1993,1069.88
08/1993,1091.06
09/1993,1106.45
10/1993,1117.29
11/1993,1125.00
12/1993,1145.47
01/1994,1158.99
02/1994,1172.67
03/1994,1184.39
04/1994,1188.18
05/1994,1196.98
06/1994,1210.86
07/1994,1228.66
08/1994,1242.18
09/1994,1249.50
10/1994,1258.13
11/1994,1269.32
12/1994,1278.46
01/1995,1289.20
02/1995,1306.61
03/1995,1324.90
04/1995,1339.21
05/1995,1349.79
06/1995,1366.93
07/1995,1381.97
08/1995,1397.72
09/1995,1425.67
10/1995,1442.78
11/1995,1463.27
12/1995,1490.34
01/1996,1510.61
02/1996,1526.17
03/1996,1547.08
04/1996,1564.56
05/1996,1585.68
06/1996,1609.62
07/1996,1632.96
08/1996,1654.68
09/1996,1680.83
10/1996,1712.93
11/1996,1736.40
12/1996,1744.91
01/1997,1763.58
02/1997,1791.09
03/1997,1812.94
04/1997,1841.58
05/1997,1872.71
06/1997,1915.59
07/1997,1941.83
08/1997,1967.86
09/1997,1994.03
10/1997,2013.57
11/1997,2026.05
12/1997,2046.92
01/1998,2063.50
02/1998,2084.55
03/1998,2098.93
04/1998,2090.12
05/1998,2094.09
06/1998,2065.61
07/1998,2069.12
08/1998,2044.91
09/1998,2000.95
10/1998,1816.06
11/1998,1826.77
12/1998,1858.92
01/1999,1889.23
02/1999,1912.46
03/1999,1944.59
04/1999,1980.76
05/1999,1985.12
06/1999,1982.74
07/1999,1969.06
08/1999,1978.70
09/1999,2018.87
10/1999,2044.92
11/1999,2068.43
12/1999,2068.64
01/2000,2039.47
02/2000,2043.75
03/2000,1975.29
04/2000,1953.96
05/2000,1935.20
06/2000,1950.68
07/2000,1961.80
08/2000,1975.92
09/2000,2000.62
10/2000,2020.83
11/2000,2046.90
12/2000,2040.35
01/2001,2088.70
02/2001,2113.98
03/2001,2135.96
04/2001,2181.88
05/2001,2216.79
06/2001,2246.28
07/2001,2276.38
08/2001,2308.25
09/2001,2339.18
10/2001,2367.72
11/2001,2430.22
12/2001,2472.27
01/2002,2553.02
02/2002,2593.41
03/2002,2632.22
04/2002,2682.59
05/2002,2723.80
06/2002,2757.93
07/2002,2796.74
08/2002,2814.06
09/2002,2670.11
10/2002,2673.89
11/2002,2671.05
12/2002,2685.37
01/2003,2718.86
02/2003,2739.63
03/2003,2746.94
04/2003,2762.35
05/2003,2773.24
06/2003,2788.35
07/2003,2760.89
08/2003,2778.78
09/2003,2793.53
10/2003,2813.31
