Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI RV: Fixed Income-Convertible Arbitrage Index (HFRICAI)
Date, Monthly Index Value
12/1989,1000.00
01/1990,985.30
02/1990,976.24
03/1990,988.54
04/1990,1003.17
05/1990,1020.72
06/1990,1038.28
07/1990,1050.22
08/1990,1048.33
09/1990,1043.40
10/1990,1027.12
11/1990,1026.61
12/1990,1021.58
01/1991,1026.07
02/1991,1042.59
03/1991,1057.09
04/1991,1072.84
05/1991,1082.92
06/1991,1093.53
07/1991,1110.70
08/1991,1133.92
09/1991,1148.77
10/1991,1162.79
11/1991,1182.09
12/1991,1201.36
01/1992,1226.82
02/1992,1238.36
03/1992,1250.62
04/1992,1260.62
05/1992,1282.05
06/1992,1291.15
07/1992,1315.04
08/1992,1336.74
09/1992,1356.26
10/1992,1373.07
11/1992,1382.68
12/1992,1397.76
01/1993,1410.76
02/1993,1422.89
03/1993,1454.05
04/1993,1475.86
05/1993,1494.16
06/1993,1509.70
07/1993,1530.99
08/1993,1552.42
09/1993,1568.41
10/1993,1588.64
11/1993,1598.17
12/1993,1610.48
01/1994,1621.11
02/1994,1625.00
03/1994,1590.71
04/1994,1546.33
05/1994,1546.80
06/1994,1549.12
07/1994,1573.13
08/1994,1585.71
09/1994,1587.62
10/1994,1586.19
11/1994,1573.66
12/1994,1550.37
01/1995,1558.89
02/1995,1574.17
03/1995,1602.98
04/1995,1633.43
05/1995,1664.14
06/1995,1702.75
07/1995,1739.02
08/1995,1755.71
09/1995,1782.93
10/1995,1805.21
11/1995,1833.74
12/1995,1858.12
01/1996,1891.94
02/1996,1912.00
03/1996,1934.37
04/1996,1970.73
05/1996,2004.83
06/1996,2013.65
07/1996,2006.20
08/1996,2034.28
09/1996,2059.31
10/1996,2085.46
11/1996,2114.66
12/1996,2128.61
01/1997,2150.11
02/1997,2173.98
03/1997,2186.80
04/1997,2201.67
05/1997,2232.50
06/1997,2270.67
07/1997,2307.23
08/1997,2333.53
09/1997,2359.44
10/1997,2387.51
11/1997,2389.66
12/1997,2399.46
01/1998,2445.29
02/1998,2482.46
03/1998,2521.68
04/1998,2555.72
05/1998,2565.95
06/1998,2571.59
07/1998,2584.19
08/1998,2501.76
09/1998,2474.99
10/1998,2463.11
11/1998,2545.13
12/1998,2585.85
01/1999,2640.41
02/1999,2647.01
03/1999,2687.51
04/1999,2759.00
05/1999,2797.63
06/1999,2828.12
07/1999,2857.82
08/1999,2869.82
09/1999,2888.76
10/1999,2898.29
11/1999,2926.99
12/1999,2958.60
01/2000,3015.11
02/2000,3081.74
03/2000,3135.67
04/2000,3191.49
05/2000,3234.25
06/2000,3287.94
07/2000,3310.30
08/2000,3357.30
09/2000,3397.93
10/2000,3412.20
11/2000,3387.97
12/2000,3387.63
01/2001,3480.12
02/2001,3539.28
03/2001,3598.74
04/2001,3655.24
05/2001,3681.19
06/2001,3685.98
07/2001,3713.99
08/2001,3760.79
09/2001,3784.85
10/2001,3820.05
11/2001,3843.74
12/2001,3840.66
01/2002,3893.84
02/2002,3901.09
03/2002,3919.08
04/2002,3953.01
05/2002,3973.83
06/2002,3982.70
07/2002,3931.67
08/2002,3945.53
09/2002,4008.11
10/2002,4048.06
11/2002,4129.65
12/2002,4188.34
01/2003,4293.00
02/2003,4348.34
03/2003,4380.08
04/2003,4439.61
05/2003,4490.35
06/2003,4464.67
07/2003,4433.55
08/2003,4403.18
09/2003,4465.18
10/2003,4527.55
11/2003,4564.32
12/2003,4604.44
01/2004,4651.08
02/2004,4659.31
03/2004,4690.86
04/2004,4702.63
05/2004,4646.62
06/2004,4598.30
07/2004,4619.40
08/2004,4631.74
09/2004,4620.39
10/2004,4598.30
11/2004,4638.91
12/2004,4658.81
01/2005,4616.83
02/2005,4596.38
03/2005,4528.40
04/2005,4408.85
05/2005,4357.35
06/2005,4402.19
07/2005,4449.91
08/2005,4475.72
09/2005,4532.34
10/2005,4528.98
11/2005,4530.84
12/2005,4571.98
01/2006,4681.85
02/2006,4736.44
03/2006,4785.60
04/2006,4816.32
05/2006,4854.33
06/2006,4859.28
07/2006,4894.60
08/2006,4948.79
09/2006,4993.77
10/2006,5010.75
11/2006,5066.47
12/2006,5128.33
01/2007,5196.80
02/2007,5251.22
03/2007,5275.57
04/2007,5293.63
05/2007,5360.08
06/2007,5366.05
07/2007,5340.54
08/2007,5286.12
09/2007,5369.23
10/2007,5474.54
11/2007,5417.95
12/2007,5401.49
01/2008,5326.01
02/2008,5284.56
03/2008,5064.56
04/2008,5130.79
05/2008,5170.40
06/2008,5052.45
07/2008,4970.22
08/2008,4915.69
09/2008,4335.05
10/2008,3641.03
11/2008,3540.83
12/2008,3579.73
01/2009,3753.07
02/2009,3841.46
03/2009,3974.39
04/2009,4214.24
05/2009,4624.85
06/2009,4754.01
07/2009,5084.53
08/2009,5258.44
09/2009,5487.08
10/2009,5524.68
11/2009,5579.53
12/2009,5733.65
01/2010,5737.92
02/2010,5762.71
03/2010,5904.03
04/2010,6021.79
05/2010,5861.62
06/2010,5872.09
07/2010,6027.48
08/2010,6100.84
09/2010,6237.31
10/2010,6363.06
11/2010,6350.87
12/2010,6499.00
01/2011,6608.14
02/2011,6657.71
03/2011,6683.45
04/2011,6670.21
05/2011,6618.53
06/2011,6523.64
07/2011,6482.77
08/2011,6263.25
09/2011,6077.21
10/2011,6218.19
11/2011,6135.76
12/2011,6163.94
01/2012,6337.17
02/2012,6497.44
03/2012,6552.05
04/2012,6488.22
05/2012,6359.89
06/2012,6404.33
07/2012,6463.94
08/2012,6521.51
09/2012,6574.24
10/2012,6573.08
11/2012,6615.47
12/2012,6693.08
01/2013,6807.48
02/2013,6832.42
03/2013,6889.48
04/2013,6960.17
05/2013,7058.29
06/2013,6983.87
07/2013,7039.32
08/2013,7043.21
09/2013,7124.74
10/2013,7190.02
11/2013,7192.27
12/2013,7230.11
01/2014,7292.01
02/2014,7379.48
03/2014,7393.14
04/2014,7406.59
05/2014,7436.65
06/2014,7478.29
07/2014,7463.84
08/2014,7475.38
09/2014,7389.39
10/2014,7297.82
11/2014,7323.73
12/2014,7341.87
01/2015,7372.38
02/2015,7475.11
03/2015,7489.19
04/2015,7607.27
05/2015,7660.15
06/2015,7593.16
07/2015,7550.00
08/2015,7499.40
09/2015,7463.35
10/2015,7579.33
11/2015,7556.78
12/2015,7482.75
01/2016,7325.30
02/2016,7329.81
03/2016,7450.40
04/2016,7561.21
05/2016,7659.77
06/2016,7658.50
07/2016,7780.56
08/2016,7878.33
09/2016,7926.26
10/2016,7987.98
11/2016,8020.63
12/2016,8088.52
01/2017,8176.31
02/2017,8233.65
03/2017,8228.31
04/2017,8258.87
05/2017,8291.73
06/2017,8346.87
07/2017,8407.73
08/2017,8407.67
09/2017,8462.28
10/2017,8526.11
11/2017,8539.16
12/2017,8569.46
01/2018,8648.31
02/2018,8668.92
03/2018,8635.95
04/2018,8660.88
05/2018,8642.44
06/2018,8640.23
07/2018,8657.92
08/2018,8698.98
09/2018,8717.09
10/2018,8552.77
11/2018,8472.82
12/2018,8305.34
01/2019,8515.87
02/2019,8648.38
03/2019,8728.20
04/2019,8810.43
05/2019,8782.20
06/2019,8868.44
07/2019,8916.84
08/2019,8944.06
09/2019,8955.63
10/2019,8991.96
11/2019,9038.15
12/2019,9164.71
01/2020,9227.94
02/2020,9316.92
03/2020,8615.90
04/2020,8828.43
05/2020,8889.61
06/2020,9086.68
07/2020,9409.87
08/2020,9624.72
09/2020,9689.50
10/2020,9773.80
11/2020,10054.97
12/2020,10341.66
01/2021,10596.98
02/2021,10777.30
03/2021,10721.78
04/2021,10709.10
05/2021,10762.55
06/2021,10804.10
07/2021,10826.20
08/2021,10864.03
09/2021,10959.74
