Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI Emerging Markets (Total) Index (HFRIEM)
Date, Monthly Index Value
12/1989,1000.00
01/1990,991.60
02/1990,1012.03
03/1990,1018.40
04/1990,999.36
05/1990,1065.02
06/1990,1085.04
07/1990,1148.84
08/1990,1010.17
09/1990,942.39
10/1990,987.81
11/1990,966.18
12/1990,966.47
01/1991,989.96
02/1991,1071.03
03/1991,1115.59
04/1991,1137.23
05/1991,1165.78
06/1991,1152.14
07/1991,1214.70
08/1991,1224.29
09/1991,1223.93
10/1991,1228.45
11/1991,1251.67
12/1991,1405.25
01/1992,1518.52
02/1992,1568.02
03/1992,1611.45
04/1992,1633.85
05/1992,1701.33
06/1992,1637.70
07/1992,1630.00
08/1992,1597.24
09/1992,1651.71
10/1992,1705.88
11/1992,1711.17
12/1992,1747.45
01/1993,1811.93
02/1993,1925.90
03/1993,2004.28
04/1993,2104.90
05/1993,2222.35
06/1993,2324.36
07/1993,2344.35
08/1993,2476.33
09/1993,2539.98
10/1993,2739.11
11/1993,2847.31
12/1993,3131.75
01/1994,3298.36
02/1994,3279.89
03/1994,3136.23
04/1994,3062.22
05/1994,3076.00
06/1994,3059.08
07/1994,3156.05
08/1994,3404.43
09/1994,3513.71
10/1994,3440.28
11/1994,3343.60
12/1994,3237.61
01/1995,3059.54
02/1995,2993.15
03/1995,2971.90
04/1995,3055.41
05/1995,3168.16
06/1995,3207.44
07/1995,3258.12
08/1995,3266.26
09/1995,3301.21
10/1995,3213.40
11/1995,3166.16
12/1995,3259.88
01/1996,3445.37
02/1996,3389.55
03/1996,3392.60
04/1996,3563.59
05/1996,3715.76
06/1996,3859.93
07/1996,3757.64
08/1996,3848.58
09/1996,3901.69
10/1996,3959.43
11/1996,4072.27
12/1996,4144.76
01/1997,4469.30
02/1997,4733.88
03/1997,4663.82
04/1997,4737.97
05/1997,4918.01
06/1997,5233.26
07/1997,5476.08
08/1997,5362.18
09/1997,5394.89
10/1997,4965.46
11/1997,4770.81
12/1997,4831.40
01/1998,4569.05
02/1998,4749.99
03/1998,4889.64
04/1998,4862.75
05/1998,4409.54
06/1998,4144.52
07/1998,4132.09
08/1998,3263.53
09/1998,3101.00
10/1998,3167.98
11/1998,3330.82
12/1998,3238.89
01/1999,3163.74
02/1999,3212.47
03/1999,3497.09
04/1999,3757.62
05/1999,3775.29
06/1999,4127.90
07/1999,4087.03
08/1999,4027.77
09/1999,3951.64
