Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI Equity Hedge (Total) Index (HFRIEHI)
Date, Monthly Index Value
12/1989,1000.00
01/1990,966.60
02/1990,994.15
03/1990,1050.52
04/1990,1041.38
05/1990,1103.03
06/1990,1130.82
07/1990,1153.44
08/1990,1131.75
09/1990,1150.43
10/1990,1159.29
11/1990,1132.74
12/1990,1144.29
01/1991,1200.36
02/1991,1262.78
03/1991,1353.96
04/1991,1360.32
05/1991,1403.85
06/1991,1412.13
07/1991,1432.04
08/1991,1463.12
09/1991,1526.03
10/1991,1543.73
11/1991,1527.06
12/1991,1603.72
01/1992,1643.65
02/1992,1691.32
03/1992,1686.58
04/1992,1691.14
05/1992,1705.51
06/1992,1689.82
07/1992,1736.46
08/1992,1721.70
09/1992,1764.91
10/1992,1800.74
11/1992,1881.96
12/1992,1945.57
01/1993,1986.23
02/1993,1974.91
03/1993,2039.29
04/1993,2065.80
05/1993,2121.99
06/1993,2185.86
07/1993,2232.20
08/1993,2317.92
09/1993,2376.33
10/1993,2450.23
11/1993,2402.94
12/1993,2489.21
01/1994,2547.71
02/1994,2537.51
03/1994,2484.73
04/1994,2475.54
05/1994,2485.69
06/1994,2475.50
07/1994,2498.03
08/1994,2529.75
09/1994,2563.14
10/1994,2573.40
11/1994,2535.31
12/1994,2554.07
01/1995,2561.73
02/1995,2604.77
03/1995,2659.21
04/1995,2729.41
05/1995,2762.71
06/1995,2893.39
07/1995,3022.43
08/1995,3110.99
09/1995,3201.21
10/1995,3155.11
11/1995,3263.33
12/1995,3346.87
01/1996,3382.35
02/1996,3477.73
03/1996,3543.81
04/1996,3733.05
05/1996,3871.17
06/1996,3842.91
07/1996,3732.62
08/1996,3830.79
09/1996,3914.30
10/1996,3975.36
11/1996,4041.36
12/1996,4074.90
01/1997,4188.18
02/1997,4178.13
03/1997,4147.63
04/1997,4136.43
05/1997,4344.91
06/1997,4430.50
07/1997,4654.24
08/1997,4717.07
09/1997,4985.47
10/1997,5004.92
11/1997,4958.37
12/1997,5028.78
01/1998,5020.74
02/1998,5226.08
03/1998,5463.35
04/1998,5539.29
05/1998,5468.94
06/1998,5496.28
07/1998,5459.46
08/1998,5041.81
09/1998,5201.13
10/1998,5329.60
11/1998,5534.26
12/1998,5832.55
01/1999,6123.01
02/1999,5975.45
03/1999,6217.45
04/1999,6543.87
05/1999,6623.71
06/1999,6875.41
07/1999,6917.35
08/1999,6920.11
09/1999,6944.33
10/1999,7106.14
11/1999,7586.51
12/1999,8411.92
01/2000,8432.95
02/2000,9276.25
03/2000,9436.73
04/2000,9041.33
05/2000,8820.72
06/2000,9248.53
07/2000,9102.40
08/2000,9589.38
09/2000,9485.81
10/2000,9295.15
11/2000,8895.46
12/2000,9176.55
01/2001,9440.84
02/2001,9199.15
03/2001,8987.57
04/2001,9191.59
05/2001,9274.31
06/2001,9244.64
07/2001,9146.64
08/2001,9035.05
09/2001,8698.05
10/2001,8858.96
11/2001,9033.48
12/2001,9213.25
01/2002,9233.95
02/2002,9151.63
03/2002,9337.15
04/2002,9352.62
05/2002,9352.79
06/2002,9106.70
07/2002,8748.84
08/2002,8773.67
09/2002,8601.58
10/2002,8649.38
11/2002,8880.32
12/2002,8779.53
