Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI EH: Equity Market Neutral Index (HFRIEMNI)
Date, Monthly Index Value
12/1989,1000.00
01/1990,1012.30
02/1990,1024.75
03/1990,1033.15
04/1990,1040.70
05/1990,1045.90
06/1990,1060.23
07/1990,1068.39
08/1990,1087.62
09/1990,1107.31
10/1990,1122.48
11/1990,1131.80
12/1990,1154.55
01/1991,1183.52
02/1991,1184.00
03/1991,1215.97
04/1991,1215.84
05/1991,1215.60
06/1991,1222.41
07/1991,1252.97
08/1991,1256.48
09/1991,1280.60
10/1991,1293.02
11/1991,1308.15
12/1991,1335.23
01/1992,1340.04
02/1992,1352.90
03/1992,1360.75
04/1992,1360.34
05/1992,1361.84
06/1992,1370.28
07/1992,1387.27
08/1992,1382.42
09/1992,1398.59
10/1992,1413.14
11/1992,1429.81
12/1992,1451.83
01/1993,1479.56
02/1993,1495.24
03/1993,1520.21
04/1993,1518.08
05/1993,1526.89
06/1993,1563.08
07/1993,1572.92
08/1993,1587.24
09/1993,1625.97
10/1993,1624.34
11/1993,1600.79
12/1993,1613.11
01/1994,1625.70
02/1994,1635.13
03/1994,1642.32
04/1994,1657.43
05/1994,1641.68
06/1994,1651.21
07/1994,1657.31
08/1994,1651.51
09/1994,1651.84
10/1994,1649.86
11/1994,1642.44
12/1994,1655.91
01/1995,1659.55
02/1995,1683.11
03/1995,1712.91
04/1995,1744.77
05/1995,1755.23
06/1995,1771.38
07/1995,1810.88
08/1995,1828.63
09/1995,1862.46
10/1995,1891.89
11/1995,1906.64
12/1995,1926.28
01/1996,1968.28
02/1996,1986.97
03/1996,2004.06
04/1996,2011.08
05/1996,2039.03
06/1996,2066.96
07/1996,2100.45
08/1996,2116.83
09/1996,2130.80
10/1996,2175.55
11/1996,2179.03
12/1996,2199.73
01/1997,2226.13
02/1997,2228.80
03/1997,2238.38
04/1997,2259.87
05/1997,2293.55
06/1997,2328.87
07/1997,2379.40
08/1997,2384.40
09/1997,2436.38
10/1997,2469.51
11/1997,2482.60
12/1997,2499.24
01/1998,2512.73
02/1998,2531.83
03/1998,2563.73
04/1998,2580.65
05/1998,2593.04
06/1998,2636.86
07/1998,2629.74
08/1998,2585.82
09/1998,2606.77
