Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI Event-Driven (Total) Index (HFRIEDI)
Date, Monthly Index Value
12/1989,1000.00
01/1990,943.10
02/1990,959.04
03/1990,1006.22
04/1990,1017.90
05/1990,1037.54
06/1990,1051.75
07/1990,1063.74
08/1990,1015.56
09/1990,987.32
10/1990,971.53
11/1990,979.30
12/1990,995.26
01/1991,1005.22
02/1991,1049.65
03/1991,1085.02
04/1991,1118.22
05/1991,1150.09
06/1991,1152.85
07/1991,1179.71
08/1991,1194.58
09/1991,1212.26
10/1991,1240.62
11/1991,1247.07
12/1991,1268.15
01/1992,1321.54
02/1992,1349.69
03/1992,1371.15
04/1992,1375.67
05/1992,1389.57
06/1992,1391.09
07/1992,1408.07
08/1992,1411.44
09/1992,1430.64
10/1992,1444.37
11/1992,1469.07
12/1992,1514.91
01/1993,1561.42
02/1993,1586.87
03/1993,1647.96
04/1993,1667.90
05/1993,1699.26
06/1993,1750.07
07/1993,1786.82
08/1993,1836.67
09/1993,1852.65
10/1993,1883.77
11/1993,1886.79
12/1993,1942.45
01/1994,2010.63
02/1994,2000.78
03/1994,1989.77
04/1994,1975.84
05/1994,1994.42
06/1994,2016.75
07/1994,2048.21
08/1994,2085.29
09/1994,2093.84
10/1994,2085.46
11/1994,2058.98
12/1994,2058.98
01/1995,2100.98
02/1995,2127.66
03/1995,2142.34
04/1995,2187.55
05/1995,2227.80
06/1995,2260.77
07/1995,2305.53
08/1995,2354.87
09/1995,2398.44
10/1995,2400.59
11/1995,2520.86
12/1995,2576.07
01/1996,2676.28
02/1996,2715.09
03/1996,2766.13
04/1996,2838.60
05/1996,2938.80
06/1996,2951.44
07/1996,2936.68
08/1996,3007.75
09/1996,3067.00
10/1996,3096.75
11/1996,3159.62
12/1996,3215.86
01/1997,3307.19
02/1997,3337.95
03/1997,3320.26
04/1997,3292.70
05/1997,3436.26
06/1997,3527.32
07/1997,3623.26
08/1997,3642.10
09/1997,3772.86
10/1997,3789.83
11/1997,3841.38
12/1997,3898.61
01/1998,3908.36
02/1998,4039.68
03/1998,4158.04
04/1998,4170.93
05/1998,4121.30
06/1998,4134.07
07/1998,4110.51
