Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI Fund of Funds Composite Index (HFRIFOF)
Date, Monthly Index Value
12/1989,1000.00
01/1990,1000.70
02/1990,1014.11
03/1990,1035.10
04/1990,1044.31
05/1990,1049.22
06/1990,1072.41
07/1990,1105.33
08/1990,1123.35
09/1990,1155.25
10/1990,1174.20
11/1990,1174.20
12/1990,1175.26
01/1991,1179.84
02/1991,1179.49
03/1991,1221.00
04/1991,1210.87
05/1991,1220.19
06/1991,1234.59
07/1991,1240.89
08/1991,1257.14
09/1991,1279.27
10/1991,1287.07
11/1991,1287.72
12/1991,1345.66
01/1992,1363.43
02/1992,1379.24
03/1992,1390.28
04/1992,1391.94
05/1992,1395.84
06/1992,1401.98
07/1992,1413.48
08/1992,1420.12
09/1992,1455.48
10/1992,1480.23
11/1992,1484.67
12/1992,1511.54
01/1993,1524.69
02/1993,1558.23
03/1993,1581.76
04/1993,1618.14
05/1993,1651.64
06/1993,1697.06
07/1993,1738.30
08/1993,1769.41
09/1993,1775.25
10/1993,1815.37
11/1993,1822.63
12/1993,1909.39
01/1994,1933.45
02/1994,1889.56
03/1994,1845.91
04/1994,1825.42
05/1994,1833.09
06/1994,1847.20
07/1994,1850.34
08/1994,1874.21
09/1994,1888.83
10/1994,1870.89
11/1994,1851.99
12/1994,1842.92
01/1995,1819.70
02/1995,1818.06
03/1995,1844.06
04/1995,1871.35
05/1995,1888.19
06/1995,1898.95
07/1995,1932.00
08/1995,1976.05
09/1995,1990.87
10/1995,1980.31
11/1995,2003.09
12/1995,2047.56
01/1996,2103.45
02/1996,2090.41
03/1996,2111.11
04/1996,2176.34
05/1996,2209.86
06/1996,2218.26
07/1996,2176.77
08/1996,2210.08
09/1996,2237.70
10/1996,2273.28
11/1996,2326.48
12/1996,2342.30
01/1997,2425.45
02/1997,2466.20
03/1997,2445.98
04/1997,2455.03
05/1997,2499.71
06/1997,2562.20
07/1997,2681.09
08/1997,2672.51
09/1997,2746.80
10/1997,2707.25
11/1997,2693.44
12/1997,2721.72
01/1998,2695.59
02/1998,2746.81
03/1998,2856.96
04/1998,2882.95
05/1998,2856.14
06/1998,2840.43
07/1998,2834.47
08/1998,2622.73
09/1998,2555.86
10/1998,2505.76
11/1998,2541.84
12/1998,2582.51
01/1999,2618.93
02/1999,2613.16
03/1999,2667.52
04/1999,2754.48
05/1999,2777.62
06/1999,2856.50
07/1999,2877.35
08/1999,2880.52
09/1999,2877.06
10/1999,2913.60
11/1999,3056.66
12/1999,3266.04
01/2000,3316.34
02/2000,3489.12
03/2000,3497.14
04/2000,3379.29
05/2000,3325.90
06/2000,3419.69
07/2000,3412.16
08/2000,3480.41
09/2000,3440.03
10/2000,3405.29
11/2000,3352.85
12/2000,3399.12
01/2001,3464.72
02/2001,3439.08
03/2001,3423.95
04/2001,3447.57
05/2001,3478.60
06/2001,3476.52
07/2001,3461.57
08/2001,3467.80
09/2001,3413.01
10/2001,3444.75
11/2001,3457.15
12/2001,3494.14
01/2002,3510.00
02/2002,3500.99
03/2002,3528.38
04/2002,3550.95
05/2002,3566.59
06/2002,3535.35
07/2002,3488.00
08/2002,3499.55
09/2002,3483.95
10/2002,3476.94
11/2002,3506.08
12/2002,3529.89
01/2003,3559.61
02/2003,3571.75
03/2003,3570.64
04/2003,3614.02
05/2003,3689.23
06/2003,3713.84
07/2003,3722.23
08/2003,3753.28
09/2003,3797.45
10/2003,3855.71
11/2003,3879.65
12/2003,3939.63
01/2004,4002.11
02/2004,4045.97
03/2004,4064.22
04/2004,4028.54
05/2004,3993.37
06/2004,4003.03
07/2004,3980.02
08/2004,3979.46
09/2004,4014.76
10/2004,4046.15
11/2004,4149.21
12/2004,4209.95
01/2005,4209.78
02/2005,4266.99
03/2005,4243.48
04/2005,4183.48
05/2005,4193.39
06/2005,4250.47
07/2005,4324.30
08/2005,4360.62
09/2005,4427.99
10/2005,4364.01
11/2005,4437.45
12/2005,4525.32
01/2006,4655.51
02/2006,4671.85
03/2006,4751.41
04/2006,4835.23
05/2006,4743.02
