Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI ED: Merger Arbitrage Index (HFRIMAI)
Date, Monthly Index Value
12/1989,1000.00
01/1990,935.40
02/1990,951.40
03/1990,978.99
04/1990,988.58
05/1990,1011.12
06/1990,1018.50
07/1990,1018.70
08/1990,1010.35
09/1990,964.08
10/1990,971.11
11/1990,992.38
12/1990,1004.39
01/1991,1004.49
02/1991,1020.46
03/1991,1043.93
04/1991,1073.48
05/1991,1090.11
06/1991,1102.32
07/1991,1118.20
08/1991,1125.35
09/1991,1137.73
10/1991,1153.77
11/1991,1169.70
12/1991,1183.73
01/1992,1206.93
02/1992,1218.52
03/1992,1234.85
04/1992,1236.58
05/1992,1236.58
06/1992,1240.29
07/1992,1258.27
08/1992,1259.78
09/1992,1276.66
10/1992,1281.77
11/1992,1253.31
12/1992,1277.25
01/1993,1304.33
02/1993,1325.72
03/1993,1332.22
04/1993,1349.54
05/1993,1365.33
06/1993,1396.05
07/1993,1417.54
08/1993,1441.22
09/1993,1467.88
10/1993,1497.97
11/1993,1510.85
12/1993,1535.78
01/1994,1558.82
02/1994,1552.43
03/1994,1573.70
04/1994,1569.76
05/1994,1588.91
06/1994,1603.06
07/1994,1613.96
08/1994,1646.07
09/1994,1655.79
10/1994,1651.48
11/1994,1647.85
12/1994,1672.24
01/1995,1686.62
02/1995,1711.07
03/1995,1736.57
04/1995,1742.65
05/1995,1764.60
06/1995,1808.19
07/1995,1832.60
08/1995,1857.34
09/1995,1887.61
10/1995,1904.79
11/1995,1945.36
12/1995,1970.85
01/1996,2001.79
02/1996,2027.61
03/1996,2058.23
04/1996,2091.57
05/1996,2122.11
06/1996,2138.66
07/1996,2155.99
08/1996,2191.34
09/1996,2209.09
10/1996,2236.27
11/1996,2267.13
12/1996,2298.19
01/1997,2322.09
02/1997,2331.14
03/1997,2355.62
04/1997,2339.13
05/1997,2384.04
06/1997,2434.82
07/1997,2473.78
08/1997,2499.51
09/1997,2552.75
10/1997,2574.19
11/1997,2626.19
12/1997,2676.09
01/1998,2701.78
02/1998,2752.84
03/1998,2781.74
04/1998,2825.97
05/1998,2809.02
06/1998,2823.06
07/1998,2806.97
08/1998,2647.25
09/1998,2693.32
10/1998,2750.95
11/1998,2815.05
12/1998,2869.66
01/1999,2890.04
02/1999,2897.26
03/1999,2927.68
04/1999,2966.04
05/1999,3026.54
06/1999,3075.27
07/1999,3117.71
08/1999,3133.92
09/1999,3173.10
10/1999,3194.99
11/1999,3266.24
12/1999,3281.26
01/2000,3334.75
02/2000,3397.44
03/2000,3425.30
04/2000,3509.91
05/2000,3562.91
06/2000,3619.20
07/2000,3662.27
08/2000,3711.34
09/2000,3764.79
10/2000,3782.86
11/2000,3828.25
12/2000,3872.66
01/2001,3915.26
02/2001,3932.48
03/2001,3902.99
04/2001,3911.97
05/2001,3978.08
06/2001,3944.66
07/2001,3981.35
08/2001,4015.99
09/2001,3906.75
10/2001,3939.57
11/2001,3948.63
12/2001,3979.43
01/2002,4013.73
02/2002,3999.31
03/2002,4021.56
04/2002,4019.79
05/2002,4009.75
06/2002,3960.39
07/2002,3885.15
08/2002,3904.57
09/2002,3887.45
10/2002,3901.58
11/2002,3924.66
12/2002,3944.91
01/2003,3950.75
02/2003,3950.32
03/2003,3946.29
04/2003,3997.11
05/2003,4067.42
06/2003,4084.83
07/2003,4114.00
08/2003,4142.38
09/2003,4168.40
10/2003,4198.24
11/2003,4210.42
12/2003,4239.60
01/2004,4282.97
02/2004,4308.41
03/2004,4311.38
04/2004,4274.86
05/2004,4268.88
06/2004,4282.54
07/2004,4238.99
08/2004,4247.34
09/2004,4272.27
10/2004,4295.17
11/2004,4364.75
12/2004,4412.59
01/2005,4411.26
02/2005,4442.80
03/2005,4448.22
04/2005,4385.02
05/2005,4456.18
06/2005,4506.98
07/2005,4557.33
08/2005,4589.64
09/2005,4618.55
10/2005,4546.04
11/2005,4604.69
12/2005,4688.35
01/2006,4834.44
02/2006,4890.52
03/2006,4986.96
04/2006,5057.18
05/2006,5053.79
06/2006,5095.33
07/2006,5134.26
08/2006,5169.23
09/2006,5153.56
10/2006,5230.40
11/2006,5278.37
12/2006,5355.80
01/2007,5455.39
02/2007,5516.50
03/2007,5534.95
04/2007,5605.14
05/2007,5709.71
06/2007,5693.05
07/2007,5649.50
08/2007,5670.23
09/2007,5725.97
10/2007,5834.40
11/2007,5749.48
12/2007,5733.63
01/2008,5631.51
02/2008,5681.25
03/2008,5632.50
04/2008,5711.13
05/2008,5764.31
06/2008,5682.10
07/2008,5660.10
08/2008,5678.45
09/2008,5513.98
10/2008,5377.56
11/2008,5363.86
12/2008,5425.75
01/2009,5437.05
02/2009,5447.90
03/2009,5560.63
04/2009,5622.51
05/2009,5703.30
06/2009,5758.69
07/2009,5799.82
08/2009,5866.06
09/2009,5933.97
10/2009,5956.87
11/2009,6002.91
12/2009,6057.69
01/2010,6076.73
02/2010,6113.85
03/2010,6152.09
04/2010,6168.06
05/2010,6091.18
06/2010,6096.24
07/2010,6180.57
08/2010,6209.00
09/2010,6282.88
10/2010,6303.48
11/2010,6281.52
12/2010,6336.19
01/2011,6376.07
02/2011,6421.98
03/2011,6438.30
04/2011,6485.29
05/2011,6482.50
06/2011,6474.87
07/2011,6449.60
08/2011,6377.98
09/2011,6336.08
10/2011,6413.54
11/2011,6424.70
12/2011,6431.11
01/2012,6474.78
02/2012,6532.32
03/2012,6539.53
04/2012,6527.36
05/2012,6497.85
06/2012,6501.45
07/2012,6504.89
08/2012,6531.84
09/2012,6538.31
10/2012,6491.66
11/2012,6537.78
12/2012,6608.83
01/2013,6597.56
02/2013,6618.83
03/2013,6663.71
04/2013,6689.50
05/2013,6728.63
06/2013,6708.99
07/2013,6773.16
08/2013,6771.88
09/2013,6826.89
10/2013,6862.87
11/2013,6882.20
12/2013,6922.00
01/2014,6924.08
02/2014,6990.82
03/2014,6967.29
04/2014,6960.37
05/2014,6995.23
06/2014,7055.12
07/2014,7035.64
08/2014,7067.35
09/2014,7040.17
10/2014,6945.75
11/2014,7013.35
12/2014,7039.10
01/2015,7063.17
02/2015,7163.22
03/2015,7188.17
04/2015,7228.82
05/2015,7299.69
06/2015,7256.34
07/2015,7257.00
08/2015,7208.99
09/2015,7124.13
10/2015,7195.74
11/2015,7194.52
12/2015,7272.59
01/2016,7259.85
02/2016,7282.33
03/2016,7324.53
04/2016,7249.47
05/2016,7301.73
06/2016,7280.40
07/2016,7330.35
08/2016,7391.06
09/2016,7428.53
10/2016,7373.83
11/2016,7446.13
12/2016,7536.39
01/2017,7523.04
02/2017,7580.01
03/2017,7602.06
04/2017,7689.00
05/2017,7707.72
06/2017,7793.80
07/2017,7817.32
08/2017,7815.23
09/2017,7862.54
10/2017,7883.74
11/2017,7818.91
12/2017,7861.40
01/2018,7943.86
02/2018,7957.03
03/2018,7873.81
04/2018,7864.56
05/2018,7972.96
06/2018,8073.81
07/2018,8046.68
08/2018,8090.37
09/2018,8117.94
10/2018,8045.87
11/2018,8152.90
12/2018,8119.76
01/2019,8239.13
02/2019,8298.94
03/2019,8325.40
04/2019,8399.29
05/2019,8338.75
06/2019,8377.69
07/2019,8430.02
08/2019,8433.59
09/2019,8468.83
10/2019,8508.11
11/2019,8586.26
12/2019,8672.81
01/2020,8665.09
02/2020,8546.90
03/2020,7728.15
04/2020,8102.32
05/2020,8041.26
06/2020,8147.18
07/2020,8212.08
08/2020,8281.10
09/2020,8352.96
10/2020,8448.53
11/2020,8831.66
12/2020,9123.97
01/2021,9359.39
02/2021,9562.80
03/2021,9531.00
04/2021,9776.17
05/2021,9855.37
06/2021,9887.28
07/2021,9760.02
08/2021,9848.89
09/2021,9941.18
10/2021,10048.33
11/2021,10019.24
12/2021,10093.55
01/2022,10088.18
02/2022,10139.67
03/2022,10225.90
04/2022,10170.77
05/2022,10064.09
06/2022,9905.53
07/2022,10130.93
08/2022,10225.89
09/2022,10128.75
10/2022,10340.57
11/2022,10292.72
12/2022,10380.46
01/2023,10420.69
02/2023,10392.80
03/2023,10196.72
04/2023,10203.84
