Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI Relative Value (Total) Index (HFRIRVA)
Date, Monthly Index Value
12/1989,1000.00
01/1990,1008.40
02/1990,1025.24
03/1990,1044.72
04/1990,1060.39
05/1990,1077.04
06/1990,1087.38
07/1990,1102.06
08/1990,1096.99
09/1990,1108.40
10/1990,1114.60
11/1990,1129.32
12/1990,1133.83
01/1991,1163.20
02/1991,1199.26
03/1991,1231.16
04/1991,1253.32
05/1991,1262.09
06/1991,1256.41
07/1991,1274.51
08/1991,1281.01
09/1991,1307.01
10/1991,1300.35
11/1991,1308.93
12/1991,1293.35
01/1992,1367.33
02/1992,1402.88
03/1992,1391.80
04/1992,1421.31
05/1992,1449.02
06/1992,1484.67
07/1992,1515.10
08/1992,1524.34
09/1992,1529.38
10/1992,1537.17
11/1992,1563.92
12/1992,1581.28
01/1993,1618.13
02/1993,1632.69
03/1993,1692.77
04/1993,1733.40
05/1993,1776.04
06/1993,1804.99
07/1993,1836.76
08/1993,1875.51
09/1993,1900.64
10/1993,1935.05
11/1993,1956.14
12/1993,2009.74
01/1994,2059.58
02/1994,2068.64
03/1994,2075.47
04/1994,2066.75
05/1994,2063.86
06/1994,2068.40
07/1994,2090.73
08/1994,2093.66
09/1994,2087.80
10/1994,2090.51
11/1994,2091.35
12/1994,2090.09
01/1995,2116.85
02/1995,2139.92
03/1995,2153.40
04/1995,2187.21
05/1995,2203.83
06/1995,2241.74
07/1995,2268.19
08/1995,2298.59
09/1995,2330.77
10/1995,2339.16
11/1995,2378.46
12/1995,2417.46
01/1996,2452.76
02/1996,2487.83
03/1996,2516.44
04/1996,2567.78
05/1996,2612.46
06/1996,2638.32
07/1996,2623.02
08/1996,2663.15
09/1996,2684.45
10/1996,2689.02
11/1996,2716.45
12/1996,2767.79
01/1997,2805.98
02/1997,2836.57
03/1997,2817.85
04/1997,2854.48
05/1997,2906.72
06/1997,2962.82
07/1997,3009.33
08/1997,3052.36
09/1997,3109.14
10/1997,3138.99
11/1997,3180.11
12/1997,3208.73
01/1998,3272.26
02/1998,3317.75
03/1998,3369.83
04/1998,3434.87
05/1998,3445.18
06/1998,3450.69
07/1998,3433.09
08/1998,3233.97
09/1998,3240.12
10/1998,3224.56
11/1998,3278.09
12/1998,3298.74
01/1999,3384.84
02/1999,3388.56
03/1999,3407.88
04/1999,3503.30
05/1999,3544.29
06/1999,3592.84
07/1999,3622.66
08/1999,3651.65
09/1999,3669.17
10/1999,3688.62
11/1999,3728.46
12/1999,3784.76
01/2000,3853.64
02/2000,3902.58
03/2000,3972.83
04/2000,4028.84
05/2000,4056.24
06/2000,4144.67
07/2000,4183.21
08/2000,4249.73
09/2000,4288.40
10/2000,4269.10
11/2000,4264.83
12/2000,4292.13
01/2001,4379.68
02/2001,4425.67
03/2001,4437.18
04/2001,4470.90
05/2001,4512.48
06/2001,4502.10
07/2001,4533.62
08/2001,4572.15
09/2001,4583.13
10/2001,4622.08
11/2001,4647.04
12/2001,4674.92
01/2002,4722.91
02/2002,4724.90
03/2002,4754.82
04/2002,4782.96
05/2002,4793.00
06/2002,4783.93
07/2002,4774.53
08/2002,4807.18
09/2002,4821.19
10/2002,4841.16
11/2002,4895.24
